bokning_id,medlem_id,medlemstyp,medlem_startdatum,medlem_slutdatum,månadskostnad,födelseår,pass_id,passnamn,anläggning,instruktör,bokningsdatum,passdatum,passtid,status,feedback_text,feedbackdatum,feedback_betyg
BOK-000001,MED-10158,Premium,2023-07-29,2025-07-03,599,2006,PASS-2024-10-01-001,Yoga,GÖTEBORG CENTRUM,Maria Santos,2024-09-24,2024-10-01,11:00,Genomförd,Bästa yogapasset jag varit på. Kommer tillbaka!,2024-10-02,4
BOK-000002,MED-10229,Premium,2023-08-01,2025-06-26,599,1984,PASS-2024-12-04-002,Cykel,MALMÖ CENTRUM,Johan Bergström,2024-11-27,2024-12-04,10:00,Genomförd,Professionellt och välorganiserat pass.,2024-12-05,5
BOK-000003,MED-10223,Student,2023-12-27,2025-05-12,249,2006,PASS-2024-11-09-003,Styrketräning,,Erik Johansson,2024-11-08,2024-11-09,18:00,Genomförd,,,
BOK-000004,MED-10110,Bas,"July 03, 2023",2025-03-24,349,2006,PASS-2024-09-04-004,Pilates,Göteborg Centrum,Maria Santos,2024-09-01,4 september 2024,07:00,Klar,Professionellt och välorganiserat pass.,2024-09-02,5
BOK-000005,MED-10022,Premium,2022-11-05,2025-06-01,599,1992,PASS-2024-10-29-005,Pilates,Västerås,Klara Svensson,2024-10-26,2024-10-29,20:30,Genomförd,Bästa pilatespasset jag varit på. Kommer tillbaka!,2024-10-30,5
BOK-000006,MED-10263,Bas,2022-08-10,2024-09-19,349,1998,PASS-2024-09-18-006,Styrketräning,Göteborg Hisingen,Sara Nilsson,2024-09-11,2024/09/18,09:00,Genomförd,,,
BOK-000007,MED-10164,Premium,2022/11/28,2025-05-04,599,1986,PASS-2024-08-16-007,Styrketräning,City,Erik Johansson,2024-08-13,2024-08-16,10:00,Genomförd,,,
BOK-000008,MED-10120,Premium,2024-03-19,2025-04-20,599,1982,PASS-2024-07-09-008,Pilates,Västerås,Klara Svensson,2024-07-04,2024-07-09,11:00,Avbokad,,,
BOK-000009,MED-10313,Premium,2022-11-04,2025-02-14,599,1992,PASS-2024-12-28-009,Dance,Uppsala,Lisa Andersson,2024-12-26,2024-12-28,08:00,Genomförd,,,
BOK-000010,MED-10252,Bas,2022-07-20,2024-09-03,349,1972,PASS-2024-08-05-010,HIIT,STOCKHOLM SÖDERMALM,Anna Lindberg,2024-08-02,2024-08-05,17:00,Genomförd,Gör vad det ska. Kunde varit mer utmanande.,2024-08-06,3
BOK-000011,MED-10084,Bas,2024-04-10,2024-10-16,349,1993,PASS-2024-11-10-011,Pilates,Göteborg Centrum,Maria Santos,2024-11-08,2024-11-10,19:00,Genomförd,,,
BOK-000012,MED-10328,Premium,2024-04-12,2024-10-10,599,1992,PASS-2024-07-08-012,Spinning,Örebro,Oscar Holm,2024-07-01,2024-07-08,17:30,Genomförd,"Fungerar, men jag föredrar morgonpassen.",2024-07-09,3
BOK-000013,MED-10123,STUDENT,2024-02-13,2025-04-04,249,1999,PASS-2024-11-21-013,Yoga,Malmö Västra Hamnen,David Chen,2024-11-20,2024-11-21,17:00,Genomförd,"Lugn och avslappnande yoga, precis vad jag behövde.",2024-11-21,4
BOK-002574,MED-10313,Premium,2022-11-04,2025-02-14,599,1992,PASS-2024-10-21-2574,Styrketräning,Stockholm City,Erik Johansson,2024-10-26,2024-10-21,20:30,NO-SHOW,,,
BOK-000014,MED-10146,Premium,2023-07-02,2025-02-08,599,1996,PASS-2024-12-15-014,Dans,LINKÖPING,Emma Larsson,2024-12-11,2024-12-15,18:30,Genomförd,Instruktören kom försent och passet blev förkortat.,2024-12-16,1
BOK-000015,MED-10365,Bas,2023-05-02,2025-03-27,349,,PASS-2024-07-12-015,Boxning,Stockholm Kungsholmen,Marcus Ek,2024-07-10,2024-07-12,17:00,Genomförd,Bra lokal men instruktören var lite seg.,2024-07-13,3
BOK-000016,MED-10135,Premium,2022-11-24,2025-04-25,599,1978,PASS-2024-10-30-016,Yoga,Västerås,Klara Svensson,2024-10-25,2024-10-30,17:30,Genomförd,,,
BOK-000017,MED-10106,Premium,2023-03-13,2024-08-30,599,1974,PASS-2024-12-28-017,HIIT,Linköping,Emma Larsson,2024-12-24,2024-12-28,20:30,Genomförd,Standard hiit. Inget att klaga på.,2024-12-29,3
BOK-000018,MED-10202,PREMIUM,2022-10-28,2025-01-24,599,1978,PASS-2024-10-06-018,HIIT,Stockholm Kungsholmen,Marcus Ek,2024-10-03,2024-10-06,10:00,No-show,,,
BOK-000019,MED-10070,Bas,2023-03-30,2025-08-01,349,1992,PASS-2024-07-26-019,Spinning,Stockholm Södermalm,Anna Lindberg,2024-07-22,2024-07-26,12:00,Genomförd,,,
BOK-000020,MED-10019,Student,2023-04-18,2025-01-14,249,2005,PASS-2024-09-13-020,HIIT,Stockholm Södermalm,Anna Lindberg,2024-09-10,2024-09-13,18:00,Klar,,,
BOK-000021,MED-10263,Basic,2022-08-10,2024-09-19,349,1998,PASS-2024-10-18-021,HIIT,Stockholm Kungsholmen,Marcus Ek,2024-10-17,2024-10-18,12:00,No-show,,,
BOK-000022,MED-10353,Premium,2023-02-07,2025-04-13,599,1992,PASS-2024-12-28-022,HIIT,Stockholm City,Erik Johansson,2024-12-26,2024-12-28,11:00,Genomförd,Utmanande men roligt. Lagom nivå för mig.,2024-12-29,4
BOK-000023,MED-10348,Premium,2023-11-12,2024-11-26,599,1998,PASS-2024-11-11-023,Boxing,Malmö Centrum,Johan Bergström,2024-11-06,2024-11-11,07:00,No-show,,,
BOK-000024,MED-10016,Premium,2022-12-03,2025-01-02,599,2003,PASS-2024-10-29-024,Dans,Uppsala,Lisa Andersson,2024-10-27,2024-10-29,07:30,Genomförd,,,
BOK-000025,MED-10237,Premium,2023-03-09,2024-10-20,599,1988,PASS-2024-09-15-025,Core,Västerås,Klara Svensson,2024-09-08,2024-09-15,17:00,Genomförd,Bästa pilatespasset jag varit på. Kommer tillbaka!,2024-09-15,4
BOK-000026,MED-10119,Premium,2024-05-07,2024-09-22,599,1986,PASS-2024-09-13-026,Intervall,Lund,Fredrik Berg,2024-09-06,2024-09-13,17:00,Genomförd,"Helt ok, men har varit på bättre.",2024-09-14,3
BOK-000027,MED-10362,Premium,2023-06-16,2024-10-12,599,1990,PASS-2024-08-27-027,PILATES,Göteborg Centrum,Maria Santos,2024-08-22,2024-08-27,19:00,Genomförd,Utmanande men roligt. Lagom nivå för mig.,2024-08-27,5
